Ballot,Votes
1,"c26, c50, c19, c66, c58, c29, c52, c31, c15, c59, c40, c64"
2,"c10, c40, c21, c54, c4, c52, c53, c17, c22, c6, c11, c49"
3,"c13, c5, c57, c40, c15, c27, c20, c39, c32, c63, c25, c38"
4,"c51, c5"
5,"c45, c51, c5"
6,"c34, c32, c23, c10, c37, c58, c62, c3, c60, c65, c45, c19"
7,"c62, c42, c19, c6, c10, c65, c27, c28, c38, c51, c25, c17"
8,"c6, c48, c37, c33, c30, c21, c10, c5, c20, c41, c40, c17"
9,"c52, c49, c25, c12, c18, c22, c45, c48, c44, c50, c39, c55"
10,"c51, c5, c45"
11,"c51, c45"
12,"c12, c35, c46, c36, c58, c40, c11, c18, c8, c20, c29, c44"
13,"c10, c17, c6, c65, c8, c41, c13, c59, c2, c19, c11, c1"
14,"c23, c43, c27, c36, c8, c2, c33, c50, c63, c26, c41, c17"
15,"c46, c19, c35, c53, c48, c51, c4, c27, c62, c15, c7, c47"
16,"c48, c28, c14, c25, c60, c55, c24, c23, c62, c11, c52, c61"
17,"c45, c51"
18,c51
19,"c2, c49, c46, c25, c51, c32, c33, c58, c3, c63, c14, c27"
20,"c11, c8, c5, c47, c48, c49, c23, c19, c66, c27, c17, c33"
21,"c28, c36, c33, c34, c2, c49, c60, c22, c27, c56, c63, c58"
22,c45
23,c51
24,"c40, c19, c48, c9, c66, c49, c60, c52, c30, c63, c35, c39"
25,"c63, c48, c17, c53, c13, c31, c61, c8, c45, c43, c7, c57"
26,"c17, c46, c34, c32, c47, c35, c30, c60, c61, c57, c3, c56"
27,"c54, c8, c29, c21, c51, c42, c10, c5, c60, c50, c55, c19"
28,"c29, c10, c66, c5, c11, c21, c37, c2, c1, c59, c48, c61"
29,"c5, c45, c51"
30,"c46, c29, c30, c7, c43, c6, c1, c23, c63, c48, c54, c50"
31,"c35, c53, c14, c66, c18, c27, c40, c46, c49, c33, c29, c61"
32,"c10, c32, c60, c16, c59, c52, c8, c26, c66, c28, c55, c14"
